id,target,source,title,summary,author_name,author_url,published
1, https://chrisruppel.com/blog/receiving-webmentions/,https://rupl.github.io/webmention-test/notes/6-receiving-webmentions.html,Receiving Webmentions,My site is finally able to receive webmentions! This is a test reply from a GitHub Pages site just to show what it can look like with a reply that uses microformats.…,Chris Ruppel,https://rupl.github.io/webmention-test/,2018-04-30 21:36:00
11, https://chrisruppel.com/blog/service-worker-offline-content/,https://adactio.com/links/14301,Offline Content with Service Worker — Chris Ruppel,Offline Content with Service Worker — Chris Ruppel September 1st 2018 A step-by-step walkthrough of a really useful service worker pattern: allowing users to save articles for offline reading at the click of a button (kind…, Jeremy Keith,https://adactio.com/,2018-09-01 16:51:22
2, https://chrisruppel.com/blog/service-worker-offline-content/,https://una.im/save-offline/,,,Una Kravets,,2017-01-26 00:00:00
10, https://chrisruppel.com/blog/progressive-web-app-drupal/,https://realize.be/repost/1511,PWA for D7,The PWA module for Drupal now has a Drupal 7 release nice!…,realize.be,,2018-07-19 15:39:04
3, https://chrisruppel.com/blog/service-worker-offline-content/,https://github.com/pazguille/offline-first,,,Guille Paz,,2016-06-07 00:00:00
4, https://chrisruppel.com/blog/service-worker-offline-content-list/,https://github.com/pazguille/offline-first,,,Guille Paz,,2016-10-11 00:00:00
5, https://chrisruppel.com/blog/arduino-soil-moisture-sensor/,https://bitknitting.wordpress.com/2017/07/,,,bitknitting,,2017-07-03 00:00:00
6, https://chrisruppel.com/blog/matomo-analytics/,https://adactio.com/journal/13853,Alternative analytics,Contrary to the current consensual hallucination there are alternatives to Google Analytics. I haven’t tried Open Web Analytics. It looks a bit geeky but the nice thing about it is that you can set it up…,Jeremy Keith,https://adactio.com/,2018-05-08 17:23:28
7, https://chrisruppel.com/blog/matomo-analytics/#comment-6,https://brid-gy.appspot.com/comment/twitter/adactio/993923206095560704/993946687398957057,,yup that's the one! plus the test your webmentions entry. Glad you found my write-up useful even if Matomo wasn't the right fit for you. I do like some of its GA-ish features especially client-side event…,Chris Ruppel,https://chrisruppel.com,2018-05-08 20:12:11
8, https://chrisruppel.com/travel/easy-riders-day-1/,http://easyrider-tours.com/vietnam-easy-riders-day-1-nov-25-2015-in-da-lat-vietnam/,,,easyrider-tours.com,,2018-05-12 00:00:00
48, https://chrisruppel.com/blog/brave-payments-github-pages/,https://frogpoet.github.io/,,,frogpoet,https://frogpoet.github.io,2019-04-23 01:10:17
47, https://chrisruppel.com/blog/progressive-web-app-drupal/,https://twitter.com/rupl/status/1019938589990445056,,🎉 Very proud to announce the #PWA module for #Drupal 7. Almost one million sites can now enjoy offline support and be added to homescreen,@rupl,,2018-07-19 13:34:03
53, https://chrisruppel.com/blog/arduino-soil-moisture-sensor/,https://twitter.com/rupl/status/820955689367601152,,Talking to plants,@rupl,https://twitter.com/rupl/status/820955689367601152,2017-01-16 00:00:00
46, https://chrisruppel.com/blog/progressive-web-app-drupal/,https://twitter.com/drupal/status/1022806591488372737,,Discover how to enhance your existing #Drupal site with drop-in support for Progressive Web App functionality @rupl,Drupal,,2018-07-27 13:31:43
45, https://chrisruppel.com/blog/progressive-web-app-drupal/,https://twitter.com/nazroll/status/1024216694003097601,,Progressive Web Apps for Drupal 7 sites,Nazrul Kamaruddin,https://twitter.com/nazroll/status/1024216694003097601,2018-07-31 10:54:00
51, https://chrisruppel.com/blog/css-animation-border-radius/,https://twitter.com/rupl/status/787986342949089281,,Making my personal site more fun with border-radius and CSS animation,@rupl,https://twitter.com/rupl/status/787986342949089281,2016-10-17 00:00:00
50, https://chrisruppel.com/blog/debug-nonsecure-localhost-with-proxy/,https://twitter.com/rupl/status/740553359451639809,,I made a walkthrough for the least popular option network proxy,@rupl,https://twitter.com/rupl/status/740553359451639809,2016-06-08 00:00:00
52, https://chrisruppel.com/blog/lilypad-arduino-light-sensor-pulse-width-modulation/,https://twitter.com/rupl/status/809100980432289796,,,@rupl,https://twitter.com/rupl/status/809100980432289796,2016-12-14 00:00:00
56, https://chrisruppel.com/blog/receiving-webmentions/,https://twitter.com/rupl/status/991259412621873153,,I now have self-hosted #webmentions on my site! It was a huge milestone for me because not only am I part of #indieweb but it allowed me to remove the last 3rd-party tracker from my codebase 🎉,@rupl,https://twitter.com/rupl/status/991259412621873153,2018-05-01 00:00:00
54, https://chrisruppel.com/blog/brave-payments/,https://twitter.com/rupl/status/923858036673966080,,Let me convince you that Brave Payments are the future of sustainable web publishing,@rupl,https://twitter.com/rupl/status/923858036673966080,2017-10-27 00:00:00
55, https://chrisruppel.com/blog/brave-payments-github-pages/,https://twitter.com/rupl/status/940925878518861827,,Got a slide deck or open-source tool on gh-pages? Collect Brave Payments using your root repo (http://YOU.github.io) — great way to earn a little extra while publishing freely-available content. Quick howto:,@rupl,https://twitter.com/rupl/status/940925878518861827,2017-12-13 00:00:00
57, https://chrisruppel.com/travel/visitors-in-freiburg/,https://twitter.com/rupl/status/649233730838659072,,🌍 I had fun showing some friends from @FourKitchens little Freiburg:,@rupl,https://twitter.com/rupl/status/649233730838659072,2015-09-18 00:00:00
58, https://chrisruppel.com/travel/paris-with-emily/,https://twitter.com/rupl/status/651545255083380737,,Visiting my cousin Emily in Paris before heading to Bangkok. Now featuring photospheres compliments of @helior,@rupl,https://twitter.com/rupl/status/651545255083380737,2015-10-05 00:00:00
59, https://chrisruppel.com/travel/wat-pho/,https://twitter.com/rupl/status/653502973306232832,,🌏 We visited Wat Pho purely by accident yesterday. It's unbelievably beautiful!,@rupl,https://twitter.com/rupl/status/653502973306232832,2015-10-12 00:00:00
60, https://chrisruppel.com/travel/chiang-mai-thailand/,https://twitter.com/rupl/status/656721689280012288,,🌏 bye bye Chiang Mai! Next stop is the jungle somewhere,@rupl,https://twitter.com/rupl/status/656721689280012288,2015-10-20 00:00:00
